id,handle,first_name,last_name,email,street,city,state,state_animal,real_food_affinity_category_id,luxury_brand_affinity_category_id,tech_gadget_affinity_category_id,travel_affinity_category_id
1,vwykey0,Valerye,Wykey,vwykey0@ezinearticles.com,6 Surrey Avenue,Dallas,Texas,Giant anteater,1,7,9,14
2,lbrundale1,Lucienne,Brundale,lbrundale1@bloomberg.com,993 New Castle Court,Tacoma,Washington,Caracara (unidentified),3,5,10,16
3,dbarthot2,Derrik,Barthot,dbarthot2@go.com,87 Grayhawk Road,Washington,District of Columbia,"Squirrel, grey-footed",4,8,11,16
4,shemphrey3,Sigfrid,Hemphrey,shemphrey3@yale.edu,14639 Elka Pass,Sacramento,California,"Goose, egyptian",1,6,9,14
5,nzoephel4,Norrie,Zoephel,nzoephel4@imgur.com,9315 Marcy Road,Van Nuys,California,"Turtle, eastern box",4,7,9,16
6,eorrin&5,Erik,Orring,eorring5@etsy.com,02 Brickson Park Terrace,Albany,New York,"Iguana, marine",3,6,10,13
7,smickleborough6,Shepherd,Mickleborough,smickleborough6@flavors.me,6920 Buhler Place,Houston,Illinois,"Phascogale, red-tailed",1,7,11,16
8,mgonin7,Marcelline,Gonin,mgonin7@gizmodo.com,503 Lawn Court,Miami,Florida,Southern tamandua,2,7,12,14
9,kambroise8,Katy,Ambroise,kambroise8@ning.com,8901 Graedel Terrace,Gainesville,Florida,Western patch-nosed snake,2,5,12,14
10,lgoodwyn9,Lynnett,Goodwyn,lgoodwyn9@furl.net,2 Morning Road,Phoenix,Arizona,"Plover, three-banded",1,5,11,14
11,ktrewhellaa,Keary,Trewhella,ktrewhellaa@un.org,748 Esch Drive,Sacramento,California,Cattle egret,2,6,9,16
12,vchristofolb,Viola,Christofol,vchristofolb@booking.com,91066 Dapin Junction,Rochester,New York,"Macaque, japanese",3,5,10,14
13,vmontgomeryc,Vassily,Montgomery,vmontgomeryc@independent.co.uk,96812 Dapin Way,Albuquerque,New Mexico,Golden-mantled ground squirrel,1,5,10,15
14,cdavenalld,Christan,Davenall,cdavenalld@cmu.edu,8 Sage Avenue,Flint,Michigan,"Grenadier, common",1,26,9,15
15,dtallante,Drew,Tallant,dtallante@ebay.co.uk,2 Meadow Valley Crossing,New York City,Michigan,Radiated tortoise,1,5,12,16
16,dforsdikef,Dill,Forsdike,dforsdikef@parallels.com,336 Sugar Lane,Hagerstown,Maryland,"Hawk-eagle, crowned",2,6,12,16
17,ecouplandg,Emogene,Coupland,ecouplandg@soup.io,2242 Mandrake Drive,Manchester,New Hampshire,Red-necked wallaby,4,7,10,13
18,tfaireyh,Tann,Fairey,tfaireyh@blogs.com,5 Schlimgen Alley,Berkeley,California,Defassa waterbuck,1,8,11,15
19,phellingsi,Parrnell,Hellings,phellingsi@nydailynews.com,8151 Troy Junction,San Jose,California,American beaver,4,7,11,15
20,cphilippsohnj,Clarance,Philippsohn,cphilippsohnj@examiner.com,0 Pepper Wood Pass,Nashville,Tennessee,Bat-eared fox,1,6,11,14
21,ebrosek,Elysha,Brose,ebrosek@google.de,92806 Maple Wood Road,Houston,Texas,Eurasian beaver,4,5,10,14
22,jmaddisonl,Julee,Maddison,jmaddisonl@tripod.com,37680 Eagle Crest Circle,Memphis,Tennessee,"Macaque, bonnet",1,8,10,13
23,aredfernem,Augustine,Redferne,aredfernem@newsvine.com,19622 Lillian Parkway,Gary,Indiana,White-tailed jackrabbit,1,6,9,14
24,a#ucknottn,Amaleta,Tucknott,atucknottn@yelp.com,8 Algoma Center,Arlington,Virginia,"Quoll, eastern",2,8,12,13
25,tprinneo,Torre,Prinne,tprinneo@vkontakte.ru,251 Hanover Pass,Springfield,Illinois,Asiatic jackal,3,5,10,14
26,cbakhrushkinp,Cazzie,Bakhrushkin,cbakhrushkinp@networksolutions.com,817 Coleman Alley,Decatur,Illinois,Long-tailed skua,4,8,10,13
27,fbockmannq,Fran,Bockmann,fbockmannq@devhub.com,2 Shelley Place,Richmond,Virginia,"Boa, mexican",4,5,12,14
28,djimenor,Dionis,Jimeno,djimenor@hostgator.com,70424 Rusk Avenue,Sacramento,California,"Armadillo, giant",4,7,10,16
29,mmarquesss,Merrili,Marquess,mmarquesss@hostgator.com,3462 Milwaukee Pass,Oklahoma City,Oklahoma,Scaly-breasted lorikeet,2,8,9,15
30,rc&oyt,Red,Croy,rcroyt@jigsy.com,778 Ruskin Park,Pittsburgh,Pennsylvania,African bush squirrel,2,5,11,13
31,asnoxellu,Auroora,Snoxell,asnoxellu@seattletimes.com,288 Valley Edge Lane,Nashville,Tennessee,"Antelope, four-horned",2,5,10,14
32,rbadwickv,Ranice,Badwick,rbadwickv@imgur.com,8 Red Cloud Hill,Evansville,Indiana,Common long-nosed armadillo,1,8,11,14
33,tendenw,Tiphani,Enden,tendenw@hatena.ne.jp,73246 Mayfield Park,Washington,District of Columbia,Yellow-crowned night heron,1,5,11,15
34,hpenhallx,Harriott,Penhall,hpenhallx@aboutads.info,91445 Sheridan Way,El Paso,NULL,Oriental white-backed vulture,1,8,12,15
35,obrownscombey,Ofilia,Brownscombe,obrownscombey@eventbrite.com,889 Dixon Pass,Albany,New York,"Monkey, rhesus",4,8,10,16
36,ghurburtz,Garrot,Hurburt,ghurburtz@deviantart.com,3461 Lakewood Gardens Terrace,Amarillo,Texas,Eurasian hoopoe,3,5,12,13
37,gconlaund10,Geri,Conlaund,gconlaund10@uiuc.edu,35 Eliot Point,Bradenton,Florida,Hyrax,2,7,12,16
