id,handle,first_name,last_name,email,street,city,state,state_animal,real_food_affinity_category_id,luxury_brand_affinity_category_id,tech_gadget_affinity_category_id,travel_affinity_category_id
1,vwykey0,Valerye,Wykey,vwykey0@ezinearticles.com,6 Surrey Avenue,Dallas,Texas,Giant anteater,1,7,9,14
2,lbrundale1,Lucienne,Brundale,lbrundale1@bloomberg.com,993 New Castle Court,Tacoma,Washington,Caracara (unidentified),3,5,10,16
4,shemphrey3,Sigfrid,Hemphrey,shemphrey3@yale.edu,14639 Elka Pass,Sacramento,California,"Goose, egyptian",1,6,9,14
5,nzoephel4,Norrie,Zoephel,nzoephel4@imgur.com,9315 Marcy Road,Van Nuys,California,"Turtle, eastern box",4,7,9,16
11,ktrewhellaa,Keary,Trewhella,ktrewhellaa@un.org,748 Esch Drive,Sacramento,California,Cattle egret,2,6,9,16
12,vchristofolb,Viola,Christofol,vchristofolb@booking.com,91066 Dapin Junction,Rochester,New York,"Macaque, japanese",3,5,10,14
13,vmontgomeryc,Vassily,Montgomery,vmontgomeryc@independent.co.uk,96812 Dapin Way,Albuquerque,New Mexico,Golden-mantled ground squirrel,1,5,10,15
14,cdavenalld,Christan,Davenall,cdavenalld@cmu.edu,8 Sage Avenue,Flint,Michigan,"Grenadier, common",1,26,9,15
17,ecouplandg,Emogene,Coupland,ecouplandg@soup.io,2242 Mandrake Drive,Manchester,New Hampshire,Red-necked wallaby,4,7,10,13
21,ebrosek,Elysha,Brose,ebrosek@google.de,92806 Maple Wood Road,Houston,Texas,Eurasian beaver,4,5,10,14
22,jmaddisonl,Julee,Maddison,jmaddisonl@tripod.com,37680 Eagle Crest Circle,Memphis,Tennessee,"Macaque, bonnet",1,8,10,13
23,aredfernem,Augustine,Redferne,aredfernem@newsvine.com,19622 Lillian Parkway,Gary,Indiana,White-tailed jackrabbit,1,6,9,14
25,tprinneo,Torre,Prinne,tprinneo@vkontakte.ru,251 Hanover Pass,Springfield,Illinois,Asiatic jackal,3,5,10,14
26,cbakhrushkinp,Cazzie,Bakhrushkin,cbakhrushkinp@networksolutions.com,817 Coleman Alley,Decatur,Illinois,Long-tailed skua,4,8,10,13
28,djimenor,Dionis,Jimeno,djimenor@hostgator.com,70424 Rusk Avenue,Sacramento,California,"Armadillo, giant",4,7,10,16
29,mmarquesss,Merrili,Marquess,mmarquesss@hostgator.com,3462 Milwaukee Pass,Oklahoma City,Oklahoma,Scaly-breasted lorikeet,2,8,9,15
31,asnoxellu,Auroora,Snoxell,asnoxellu@seattletimes.com,288 Valley Edge Lane,Nashville,Tennessee,"Antelope, four-horned",2,5,10,14
35,obrownscombey,Ofilia,Brownscombe,obrownscombey@eventbrite.com,889 Dixon Pass,Albany,New York,"Monkey, rhesus",4,8,10,16
38,dbaumadier11,Dermot,Baumadier,dbaumadier11@dmoz.org,6100 Westend Terrace,Spokane,Washington,Common long-nosed armadillo,1,5,9,13
39,dkeets12,Dieter,Keets,dkeets12@aboutads.info,80 Monument Junction,Tucson,Arizona,"Gull, silver",2,8,10,13
40,bjanousek13,Bobbee,Janousek,bjanousek13@arstechnica.com,50846 Emmet Crossing,Loretto,Minnesota,"Racer, blue",3,6,10,15
43,melleray16,Margo,Elleray,melleray16@last.fm,5543 Crownhardt Court,Fort Worth,Texas,"Otter, cape clawless",3,5,10,15
45,mrothermel18,Mandel,Rothermel,mrothermel18@sciencedaily.com,808 Gateway Junction,Dallas,Texas,Painted stork,2,5,10,13
48,mjonke1b,Maryanna,Jonke,mjonke1b@sun.com,3 Fordem Plaza,Silver Spring,Maryland,"Dragon, western bearded",4,7,9,14
51,abarmadier1e,Ardine,Barmadier,abarmadier1e@sina.com.cn,78450 Union Place,Providence,Rhode Island,"Bulbul, black-eyed",4,5,10,13
52,jcroston1f,Jessalin,Croston,jcroston1f@cargocollective.com,108 Bluejay Trail,Pasadena,California,"Crane, wattled",2,6,9,14
53,ufairbank1g,Ugo,Fairbank,ufairbank1g@ycombinator.com,56 Melvin Plaza,Lexington,Kentucky,"Eland, common",1,5,10,13
54,edawidowsky1h,Earvin,Dawidowsky,edawidowsky1h@com.com,9156 Barnett Hill,Nashville,Tennessee,"Falcon, peregrine",1,7,10,15
56,iluddy1j,Innis,Luddy,iluddy1j@godaddy.com,135 Village Road,Houston,Texas,Thirteen-lined squirrel,3,5,10,13
58,ltrevithick1l,Lexie,Trevithick,ltrevithick1l@flavors.me,7205 Petterle Place,Dayton,Ohio,Mississippi alligator,3,8,10,15
65,mkuhnhardt1s,Mirabel,Kuhnhardt,mkuhnhardt1s@cam.ac.uk,18 Buell Alley,Akron,Ohio,Bobcat,2,7,10,16
69,agyurko1w,Abbie,Gyurko,agyurko1w@loc.gov,3419 Schlimgen Terrace,Atlanta,Georgia,Water moccasin,1,7,10,14
70,dspurman1x,Derril,Spurman,dspurman1x@deviantart.com,9 Norway Maple Drive,Sacramento,California,Andean goose,4,7,9,13
71,rgourlay1y,Rees,Gourlay,rgourlay1y@e-recht24.de,91998 Bultman Parkway,San Jose,California,Civet cat,1,5,10,16
72,rklausen1z,Rosalia,Klausen,rklausen1z@live.com,7 Hagan Crossing,New Orleans,Louisiana,Pale-throated three-toed sloth,2,8,9,15
74,cpepis21,Charissa,Pepis,cpepis21@flickr.com,903 Schiller Parkway,Washington,District of Columbia,"Ringtail, common",2,7,10,16
75,eclavering22,Elvera,Clavering,eclavering22@e-recht24.de,5244 Lake View Crossing,Richmond,Virginia,Common mynah,2,8,9,14
